nome_comum,id_setor,especie,familia,ordem,classe,origem,status_conservação
Gavião-real,A07,Harpia harpyja,Accipitridae,Accipitriformes,Aves,nativa,VU
Pé-vermelho,A04,Amazonetta brasiliensis,Anatidae,Anseriformes,Aves,nativa,LC
Marreca-toicinho,A09,Anas bahamensis,Anatidae,Anseriformes,Aves,nativa,LC
Irerê,A04,Dendrocygna viduata,Anatidae,Anseriformes,Aves,nativa,LC
Tachã,A04,Chauna torquata,Anhimidae,Anseriformes,Aves,nativa,LC
Beija-flor-de-banda-branca,A10,Amazilia versicolor,Trochilidae,Apodiformes,Aves,nativa,LC
Beija-flor-preto,A10,Florisuga fusca,Trochilidae,Apodiformes,Aves,nativa,LC
Beija-flor-de-fronte-violeta,A10,Thalurania glaucopis,Trochilidae,Apodiformes,Aves,nativa,LC
Seriema,A04,Cariama cristata,Cariamidae,Cariamiformes,Aves,nativa,LC
Casuar,A11,Casuarius casuarius,Casuariidae,Casuariiformes,Aves,nativa,LC
Urubu-rei,A07,Sarcoramphus papa,Cathartidae,Cathartiformes,Aves,nativa,LC
Quero-quero,A01,Vanellus chilensis lampronotus,Charadriidae,Charadriiformes,Aves,nativa,LC
Pariri,A02,Geotrygon montana,Columbidae,Columbiformes,Aves,nativa,LC
Pomba-asa-branca,A01,Patagioenas picazuro picazuro,Columbidae,Columbiformes,Aves,nativa,LC
Pomba-de-bando,A02,Zenaida auriculata,Columbidae,Columbiformes,Aves,nativa,LC
Jacutinga,A02,Aburria jacutinga,Cracidae,Galliformes,Aves,nativa,EN
Mutum-do-sudeste,A03,Crax blumenbachii,Cracidae,Galliformes,Aves,nativa,CR
Mutum-de-penacho,A02,Crax fasciolata,Cracidae,Galliformes,Aves,nativa,VU
Mutum-de-alagoas,A03,Pauxi mitu,Cracidae,Galliformes,Aves,nativa,EW
Jacuaçu,A02,Penelope obscura,Cracidae,Galliformes,Aves,nativa,LC
Uru,A02,Odontophorus capueira capueira,Odontophoridae,Galliformes,Aves,nativa,CR
Grou-demoiselle,A01,Anthropoides virgo,Gruidae,Gruiformes,Aves,exotica,LC
Frango-d'água-azul,A01,Porphyrio martinicus,Rallidae,Gruiformes,Aves,nativa,LC
Sanhaçu-de-fogo,A02,Piranga flava,Cardinalidae,Passeriformes,Aves,nativa,LC
Gralha-azul,A04,Cyanocorax caeruleus,Corvidae,Passeriformes,Aves,nativa,NT
Gralha-picaça,A03,Cyanocorax chrysops,Corvidae,Passeriformes,Aves,nativa,LC
Gralha-do-campo,A01,Cyanocorax cristatellus,Corvidae,Passeriformes,Aves,nativa,LC
Gralha-cancã,A04,Cyanocorax cyanopogon,Corvidae,Passeriformes,Aves,nativa,LC
Pavó,A01,Pyroderus scutatus scutatus,Cotingidae,Passeriformes,Aves,nativa,LC
Araponga,A02,Procnias nudicollis,Cotingidae,Passeriformes,Aves,nativa,VU
Gaturamo-verdadeiro ,A02,Euphonia violacea,Fringillidae,Passeriformes,Aves,nativa,LC
Pintassilgo,A02,Spinus magellanicus,Fringillidae,Passeriformes,Aves,nativa,LC
Graúna,A02,Gnorimopsar chopi,Icteridae,Passeriformes,Aves,nativa,LC
Encontro,A02,Icterus pyrrhopterus pyrrhopterus,Icteridae,Passeriformes,Aves,nativa,LC
Iraúna-grande,A02,Molothrus oryzivorus oryzivorus,Icteridae,Passeriformes,Aves,nativa,LC
Iraúna-de-bico-branco,A02,Procacicus solitarius,Icteridae,Passeriformes,Aves,nativa,LC
Sabiá-do-campo,A02,Mimus saturninus,Mimidae,Passeriformes,Aves,nativa,LC
Tico-tico,A02,Zonotrichia capensis,Passerellidae,Passeriformes,Aves,nativa,LC
Tico-tico-rei-cinza,A02,Coryphospingus pileatus,Thraupidae,Passeriformes,Aves,nativa,LC
