nome_comum,id_setor,especie,genero,familia,ordem,classe,origem,status_conservação
Gavião-real,A07,Harpia harpyja,Harpia,Accipitridae,Accipitriformes,Aves,nativa,VU
Pé-vermelho,A04,Amazonetta brasiliensis,Amazonetta,Anatidae,Anseriformes,Aves,nativa,LC
Marreca-toicinho,A09,Anas bahamensis,Anas,Anatidae,Anseriformes,Aves,nativa,LC
Irerê,A04,Dendrocygna viduata,Dendrocygna,Anatidae,Anseriformes,Aves,nativa,LC
Tachã,A04,Chauna torquata,Chauna,Anhimidae,Anseriformes,Aves,nativa,LC
Beija-flor-de-banda-branca,A10,Amazilia versicolor,Amazilia,Trochilidae,Apodiformes,Aves,nativa,LC
Beija-flor-preto,A10,Florisuga fusca,Florisuga,Trochilidae,Apodiformes,Aves,nativa,LC
Beija-flor-de-fronte-violeta,A10,Thalurania glaucopis,Thalurania,Trochilidae,Apodiformes,Aves,nativa,LC
Seriema,A04,Cariama cristata,Cariama,Cariamidae,Cariamiformes,Aves,nativa,LC
Casuar,A11,Casuarius casuarius,Casuarius,Casuariidae,Casuariiformes,Aves,nativa,LC
Urubu-rei,A07,Sarcoramphus papa,Sarcoramphus,Cathartidae,Cathartiformes,Aves,nativa,LC
Quero-quero,A01,Vanellus chilensis lampronotus,Vanellus,Charadriidae,Charadriiformes,Aves,nativa,LC
Pariri,A02,Geotrygon montana,Geotrygon,Columbidae,Columbiformes,Aves,nativa,LC
Pomba-asa-branca,A01,Patagioenas picazuro picazuro,Patagioenas,Columbidae,Columbiformes,Aves,nativa,LC
Pomba-de-bando,A02,Zenaida auriculata,Zenaida,Columbidae,Columbiformes,Aves,nativa,LC
Jacutinga,A02,Aburria jacutinga,Aburria,Cracidae,Galliformes,Aves,nativa,EN
Mutum-do-sudeste,A03,Crax blumenbachii,Crax,Cracidae,Galliformes,Aves,nativa,CR
Mutum-de-penacho,A02,Crax fasciolata,Crax,Cracidae,Galliformes,Aves,nativa,VU
Mutum-de-alagoas,A03,Pauxi mitu,Pauxi,Cracidae,Galliformes,Aves,nativa,EW
Jacuaçu,A02,Penelope obscura,Penelope,Cracidae,Galliformes,Aves,nativa,LC
Uru,A02,Odontophorus capueira capueira,Odontophorus,Odontophoridae,Galliformes,Aves,nativa,CR
Grou-demoiselle,A01,Anthropoides virgo,Anthropoides,Gruidae,Gruiformes,Aves,exotica,LC
Saracura-do-mato,A02,Aramides saracura,Aramides,Rallidae,Gruiformes,Aves,nativa,LC
